Angle (degrees),linear charge density (microcoulomb/cm)
0,16.62
1,16.76
2,16.89
3,17.02
4,17.15
5,17.28
6,17.40
7,17.53
8,17.65
9,17.77
10,17.89
11,18.01
12,18.13
13,18.24
14,18.35
15,18.46
16,18.57
17,18.67
18,18.77
19,18.87
20,18.96
21,19.05
22,19.14
23,19.22
24,19.30
25,19.38
26,19.45
27,19.51
28,19.58
29,19.63
30,19.69
31,19.74
32,19.78
33,19.82
34,19.86
35,19.89
36,19.92
37,19.94
38,19.96
39,19.97
40,19.98
41,19.98
42,19.98
43,19.97
44,19.96
45,19.94
46,19.92
47,19.89
48,19.86
49,19.82
50,19.78
51,19.73
52,19.68
53,19.62
54,19.56
55,19.49
56,19.42
57,19.35
58,19.27
59,19.18
60,19.09
61,19.00
62,18.90
63,18.80
64,18.70
65,18.59
66,18.48
67,18.36
68,18.24
69,18.12
70,17.99
71,17.86
72,17.73
73,17.59
74,17.46
75,17.32
76,17.17
77,17.03
78,16.88
79,16.73
80,16.58
81,16.43
82,16.27
83,16.11
84,15.96
85,15.80
86,15.64
87,15.48
88,15.32
89,15.16
90,15.00
91,14.84
92,14.68
93,14.52
94,14.36
95,14.20
96,14.04
97,13.89
98,13.73
99,13.57
100,13.42
101,13.27
102,13.12
103,12.97
104,12.83
105,12.68
106,12.54
107,12.41
108,12.27
109,12.14
110,12.01
111,11.88
112,11.76
113,11.64
114,11.52
115,11.41
116,11.30
117,11.20
118,11.10
119,11.00
120,10.91
121,10.82
122,10.73
123,10.65
124,10.58
125,10.51
126,10.44
127,10.38
128,10.32
129,10.27
130,10.22
131,10.18
132,10.14
133,10.11
134,10.08
135,10.06
136,10.04
137,10.03
138,10.02
139,10.02
140,10.02
141,10.03
142,10.04
143,10.06
144,10.08
145,10.11
146,10.14
147,10.18
148,10.22
149,10.26
150,10.31
151,10.37
152,10.42
153,10.49
154,10.55
155,10.62
156,10.70
157,10.78
158,10.86
159,10.95
160,11.04
161,11.13
162,11.23
163,11.33
164,11.43
165,11.54
166,11.65
167,11.76
168,11.87
169,11.99
170,12.11
171,12.23
172,12.35
173,12.47
174,12.60
175,12.72
176,12.85
177,12.98
178,13.11
179,13.24
180,13.38
181,13.51
182,13.64
183,13.78
184,13.91
185,14.04
186,14.17
187,14.31
188,14.44
189,14.57
190,14.70
191,14.83
192,14.95
193,15.08
194,15.20
195,15.33
196,15.45
197,15.57
198,15.68
199,15.80
200,15.91
201,16.02
202,16.13
203,16.23
204,16.33
205,16.43
206,16.53
207,16.62
208,16.71
209,16.80
210,16.88
211,16.96
212,17.03
213,17.10
214,17.17
215,17.23
216,17.29
217,17.35
218,17.40
219,17.45
220,17.49
221,17.53
222,17.56
223,17.59
224,17.62
225,17.64
226,17.66
227,17.67
228,17.68
229,17.69
230,17.69
231,17.69
232,17.68
233,17.67
234,17.65
235,17.63
236,17.61
237,17.58
238,17.55
239,17.51
240,17.47
241,17.43
242,17.38
243,17.33
244,17.28
245,17.22
246,17.16
247,17.09
248,17.03
249,16.96
250,16.88
251,16.81
252,16.73
253,16.65
254,16.56
255,16.48
256,16.39
257,16.30
258,16.20
259,16.11
260,16.01
261,15.92
262,15.82
263,15.72
264,15.62
265,15.52
266,15.41
267,15.31
268,15.21
269,15.10
270,15.00
271,14.90
272,14.79
273,14.69
274,14.59
275,14.48
276,14.38
277,14.28
278,14.18
279,14.08
280,13.99
281,13.89
282,13.80
283,13.70
284,13.61
285,13.52
286,13.44
287,13.35
288,13.27
289,13.19
290,13.12
291,13.04
292,12.97
293,12.91
294,12.84
295,12.78
296,12.72
297,12.67
298,12.62
299,12.57
300,12.53
301,12.49
302,12.45
303,12.42
304,12.39
305,12.37
306,12.35
307,12.33
308,12.32
309,12.31
310,12.31
311,12.31
312,12.32
313,12.33
314,12.34
315,12.36
316,12.38
317,12.41
318,12.44
319,12.47
320,12.51
321,12.55
322,12.60
323,12.65
324,12.71
325,12.77
326,12.83
327,12.90
328,12.97
329,13.04
330,13.12
331,13.20
332,13.29
333,13.38
334,13.47
335,13.57
336,13.67
337,13.77
338,13.87
339,13.98
340,14.09
341,14.20
342,14.32
343,14.43
344,14.55
345,14.67
346,14.80
347,14.92
348,15.05
349,15.17
350,15.30
351,15.43
352,15.56
353,15.69
354,15.83
355,15.96
356,16.09
357,16.22
358,16.36
359,16.49